pergunta;alternativa1;alternativa2;alternativa3;alternativa4;alternativa5;gabarito
Qual a ferramenta necessária para a prevenção de thread interference e erros de consistência de memória em Java?;Deadlock.;Guarded block.;Livelock.;Starvation.;Sinchronization.;E
Os escopos que podem ser associados a um objeto dentro de uma página JSP são:;application, session, request, page.;request, response, pagecontext, application, out, config.;diretivas, declarações, expressões, scriptlets, comentários.;plugin, invoke, doBody, element, output, param.;extends, import, session, buffer, autoFlush.;A
Os scripts do ASP Server são cercados por quais delimitadores?;<%...%>;<&>...</&>;<script>...</script>;<%>...</%>;<s>...</s>;A
Identifique como verdadeiras (V) as extensões abaixo que podem ser utilizadas para criptografia em PHP e como falsas (F) as que não podem:\n( ) Hash\n( ) OpenSSL\n( ) Radius\n( ) Rar;F – F – V – V.;F – V – F – F.;V – V – F – F.;V – F – V – V.;V – V – V – V.;C
Assinale a forma sintaticamente correta para a inclusão de um link em HTML.;<a>http://html.net </a>;<a url="http://html.net "> HTML </a>;<a name="http://www.html.net "> HTML </a>;<a href="http://html.net "> HTML </a>;<a url=”http://www.html.net”><HTML></a>;D
Sobre o escopo de variáveis no Visual Basic for Applications, considere as seguintes afirmativas:\ni) Uma variável com escopo de procedimento local é reconhecida somente dentro do procedimento no qual é declarada.\nii) Variáveis no nível do módulo não podem ser declaradas dentro de um procedimento.\niii) Quando uma variável local é declarada com a instrução Dim, a variável permanece em existência somente enquanto o procedimento no qual é declarada está sendo executado.\niv) Uma variável pública pode ser declarada em qualquer local de um procedimento.\nAssinale a alternativa correta.;Somente as afirmativas 2 e 3 são verdadeiras.;Somente as afirmativas 2 e 4 são verdadeir;Somente as afirmativas 1, 2 e 3 são verdadeiras.;Somente as afirmativas 1, 3 e 4 são verdadeiras;As afirmativas 1, 2, 3 e 4 são verdadeiras.;C
A definição “Não possui sequer identidade própria, sendo sua chave primária composta pela chave estrangeira proveniente da entidade dona concatenada a um identificador de si própria (que pode repetir para diferentes instâncias da entidade dona)” refere-se a:;autorrelacionamento.;dependência existencial.;participação parcial.;participação total.;entidade fraca.;E
Sobre operadores em SQL, considere as seguintes afirmativas:\ni) O operador UNION combina a saída de duas ou mais instruções SELECT sem retornar linhas duplicadas.\nii) Os operadores UNION, INTERSECT e EXCEPT podem ser combinados dentro de uma única expressão UNION.\niii) Todas as colunas de cada SELECT, quando da utilização do operador UNION, devem ter o mesmo nome e tamanho e estarem na mesma sequência.\niv) O operador EXCEPT avalia a saída de duas instruções SELECT e retorna as linhas que não estejam em ambas as instruções.\nAssinale a alternativa correta.;Somente as afirmativas 1 e 2 são verdadeiras;Somente as afirmativas 3 e 4 são verdadeiras.;Somente as afirmativas 1, 2 e 3 são verdadeiras.;Somente as afirmativas 2, 3 e 4 são verdadeiras.;As afirmativas 1, 2, 3 e 4 são verdadeiras.;A
Considere as seguintes condições:\ni) Que todos os domínios que não são chaves sejam completamente dependentes funcionalmente da chave primária, e\nii) Se nenhum domínio que não seja chave for dependente funcionalmente de qualquer outro domínio que não seja chave.\nQual relação normalizada é definida por essas condições?;Primeira forma normal.;Segunda forma normal.;Terceira forma normal.;Generalização.;Dependência mútua.;C
A definição “Não possui sequer identidade própria, sendo sua chave primária composta pela chave estrangeira proveniente da entidade dona concatenada a um identificador de si própria (que pode repetir para diferentes instâncias da entidade dona)” refere-se a:;autorrelacionamento.;dependência existencial.;participação parcial.;participação total.;entidade fraca.;E
A respeito de MER, considere as seguintes afirmativas:\ni) Integridade referencial ocorre quando nenhum atributo que participe da chave de um conjunto-entidade deve aceitar valores nulos.\nii) A alteração dos valores de campos constituintes da chave primária ou a remoção de uma entidade de um conjunto-entidade pode ocasionar problemas de integridade de entidade.\niii) A questão fundamental do projeto de chaves é reduzir ao máximo os efeitos de redundância.\niv) Superchave é um conjunto de um ou mais atributos que, tomados coletivamente, permitem identificar de maneira unívoca uma entidade em um conjunto de entidades.\nAssinale a alternativa correta:;Somente as afirmativas 1 e 4 são verdadeiras.;Somente as afirmativas 3 e 4 são verdadeiras.;Somente as afirmativas 1, 2 e 3 são verdadeiras.;Somente as afirmativas 1, 2 e 4 são verdadeiras.;As afirmativas 1, 2, 3 e 4 são verdadeiras.;B
Uma restrição que exige que uma entidade pertença a apenas um conjunto de entidades de nível inferior, em MER, chama-se:;definida por condição.;definida pelo usuário.;mutuamente exclusivos.;sobrepostos.;parcial.;C
Em orientação a objetos, a ação que se concentra nos aspectos próprios de uma entidade e ignora propriedades “acidentais” chama-se:;abstração;compartilhamento;comportamento;encapsulamento;sinergia;A
Em orientação a objetos, uma classe abstrata é:;um conceito, abstração ou coisa com limites e significados bem definidos para a aplicação em questão.;um grupo de objetos com propriedades (atributos) similares, comportamento (operações) similares, relacionamentos comuns com outros objetos e uma semântica comum.;uma forma de esconder os detalhes da implementação de um objeto.;uma classe que não possui instâncias diretas, mas cujas classes descendentes, sim.;um objeto usado para agrupar e gerenciar objetos relacionados;D
A respeito de MER (Peter Chen), numere a coluna da direita de acordo com sua correspondência com a coluna da esquerda.\ni) Atributo(s) determinante(s).\nii) Tipo de um atributo.\niii) Domínio de um atributo.\niv) Atributo derivado.\nv) Atributo composto.\n( )Determina a natureza dos valores permitidos para um atributo.\n( ) O seu valor pode ser calculado a partir do valor de outro(s) atributo(s).\n( ) Identifica unicamente cada entidade de um conjunto-entidade.\n( ) Tem outros atributos aninhados.\n( ) Refina o conjunto de valores permitidos para o atributo.\nAssinale a alternativa que apresenta a numeração correta na coluna da direita, de cima para baixo.;4 – 2 – 5 – 1 – 3.;4 – 1 – 5 – 2 – 3.;2 – 1 – 4 – 3 – 5.;2 – 4 – 1 – 5 – 3.;1 – 4 – 3 – 5 – 2.;D
Com relação a Orientação a Objetos, relação entre classes, numere a coluna da direita de acordo com sua correspondência com a coluna da esquerda.\ni)Completo.\nii)Disjunção.\niii)Incompleto.\niv)Sobreposição.\n( ) Subclasses podem ocorrer simultaneamente com relação à mesma superclasse.\n( ) Subclasses podem ocorrer de maneira mutuamente exclusiva com relação à mesma subclasse.\n( ) Todas as subclasses de uma superclasse já foram especificadas, mesmo que algumas tenham sido omitidas no diagrama.\n( ) Nem todas as subclasses possíveis foram especificadas no modelo, mas inclusões ainda são permitidas.\nAssinale a alternativa que apresenta a numeração correta na coluna da direita, de cima para baixo.;4 – 2 – 3 – 1.;4 – 1 – 3 – 2.;4 – 2 – 1 – 3.;2 – 4 – 1 – 3.;1 – 4 – 3 – 2.;C
Identifique como verdadeiros (V) os itens a seguir que constituem visibilidades de atributos e como falsos (F) os que não são:\n( ) Package.\n( ) Private.\n( ) Protected.\n( ) Public.\n( ) ReadOnly.;F – F – V – V – V.;F – V – F – F – V.;V – V – F – F – F.;V – F – V – V – V.;V – V – V – V – F.;E
Em relação aos princípios de especificação, considere as seguintes afirmativas:\ni) A especificação do sistema deve prover a inteireza e a não expansibilidade.\nii) Deve ser localizada e fortemente acoplada.\niii) Deve ser operacional.\niv) Deve separar a funcionalidade da implementação.\nAssinale a alternativa correta.;Somente as afirmativas 1 e 3 são verdadeiras.;Somente as afirmativas 3 e 4 são verdadeiras.;Somente as afirmativas 1, 2 e 4 são verdadeiras.;Somente as afirmativas 2, 3 e 4 são verdadeiras.;As afirmativas 1, 2, 3 e 4 são verdadeiras.;B
São classificadores de requisitos não funcionais:;acoplamento, inteireza, coesão, modularidade e expansibilidade.;implementação, projeto e escopo.;completude, corretitude, concisão e confiabilidade.;usabilidade, confiabilidade, desempenho, configurabilidade, portabilidade e segurança.;reusabilidade, abstração, encapsulamento e escala.;D
